DATE,SPCS20RSA_20190326,SPCS20RSA_20190430
2000-01-01,100.589696753376,100.589696698974
2000-02-01,101.692479313818,101.692479314291
2000-03-01,102.783828758838,102.783828812065
2000-04-01,103.99644417311701,103.996444254038
2000-05-01,105.252818321343,105.25281840306299
2000-06-01,106.402523573013,106.402523807612
2000-07-01,107.134019585228,107.134019461609
2000-08-01,107.861438340054,107.86143822743901
2000-09-01,108.610140231728,108.610140186362
2000-10-01,109.48685891510999,109.486858891926
2000-11-01,110.57170749986,110.571707485592
2000-12-01,111.800871960435,111.80087186938101
2001-01-01,113.05349782158001,113.05349773422199
2001-02-01,114.1268578928,114.126857881259
2001-03-01,115.085195675401,115.085195751287
2001-04-01,115.84055079347,115.840550928508
2001-05-01,116.300742699981,116.30074285312901
2001-06-01,116.899749726843,116.899749967955
2001-07-01,117.49660130813,117.49660114785499
2001-08-01,118.245229272702,118.24522909662201
2001-09-01,119.027952952862,119.027952923142
2001-10-01,119.69404855946999,119.694048519856
2001-11-01,120.274743580491,120.274743532503
2001-12-01,120.672264299974,120.672264238783
2002-01-01,121.36032086658501,121.360320819152
2002-02-01,122.19082091548901,122.19082092305
2002-03-01,123.32147055950199,123.321470124759
2002-04-01,124.507759737745,124.507760706156
2002-05-01,125.924465967901,125.92446594751101
2002-06-01,127.388473681693,127.38847361594999
2002-07-01,128.879586952618,128.879586646824
2002-08-01,130.307277948889,130.307277309221
2002-09-01,131.526921082096,131.526921334076
2002-10-01,132.846633252514,132.84663367872102
2002-11-01,134.096969327354,134.096970036912
2002-12-01,135.40526572016,135.405266340119
2003-01-01,136.466802067352,136.466802057397
2003-02-01,137.452827936658,137.452827180569
2003-03-01,138.378812392665,138.378810168233
2003-04-01,139.250036256844,139.250037320152
2003-05-01,140.146987786365,140.14698719367598
2003-06-01,140.91971322966802,140.919713035376
2003-07-01,142.118877745789,142.11887769485202
2003-08-01,143.55184229288798,143.551841523116
2003-09-01,145.26127818403,145.26127944447398
2003-10-01,146.99046720454902,146.990469091218
2003-11-01,148.822936640147,148.822939630222
2003-12-01,150.75899399114098,150.758996442435
2004-01-01,152.625107334505,152.62510699025898
2004-02-01,154.536524089396,154.53652047276302
2004-03-01,156.918191839718,156.918184819939
2004-04-01,159.359585233806,159.35958453318898
2004-05-01,161.751122652829,161.751120911238
2004-06-01,164.305450356768,164.305450969794
2004-07-01,166.387183931052,166.387185555542
2004-08-01,168.071587376852,168.071587413446
2004-09-01,169.65432729824698,169.65433092437002
2004-10-01,171.29703805858298,171.297042910077
2004-11-01,173.086931740881,173.086939287604
2004-12-01,175.086150038946,175.086155868844
2005-01-01,177.546125658167,177.54612406266997
2005-02-01,180.249468144948,180.249458173457
2005-03-01,183.187879336503,183.18786409654098
2005-04-01,185.51458756365398,185.514582356726
2005-05-01,187.54965960541,187.54965754535198
2005-06-01,189.530316976026,189.53032062497
2005-07-01,191.379313694618,191.37931770061797
2005-08-01,193.367563868215,193.367562500858
2005-09-01,195.620158364789,195.620163009478
2005-10-01,197.88302288327702,197.88303170587102
2005-11-01,200.148339705457,200.14835177600398
2005-12-01,202.17729534221002,202.177305333203
2006-01-01,203.77145455607499,203.771465229212
2006-02-01,205.362987072496,205.36299960764703
2006-03-01,206.146359937079,206.146277532849
2006-04-01,206.655896546912,206.655904103739
2006-05-01,206.509573715324,206.509585706927
2006-06-01,205.807440534506,205.807434313017
2006-07-01,204.93652624449402,204.93651474190702
2006-08-01,204.11196199425598,204.111962886199
2006-09-01,203.585510893914,203.585517316204
2006-10-01,203.54937136886699,203.549391980068
