DATE,SPCS20RSA_20190326,SPCS20RSA_20190430
2006-11-01,203.652860217116,203.652885754475
2006-12-01,203.47528227327498,203.47530195479698
2007-01-01,203.743045476671,203.743068220267
2007-02-01,204.07104887934798,204.07108235383498
2007-03-01,203.94844562566502,203.94828738290198
2007-04-01,202.88072804054298,202.880769101211
2007-05-01,201.033379462429,201.03339552945098
2007-06-01,198.847405190024,198.847374294492
2007-07-01,196.844607351537,196.84456663630903
2007-08-01,194.893372037102,194.89337151927398
2007-09-01,193.124608832343,193.124622773835
2007-10-01,190.97913284401298,190.979182046726
2007-11-01,187.90457197877498,187.90462484786
2007-12-01,185.099663047642,185.09969258686402
2008-01-01,182.140393651537,182.14041556578
2008-02-01,178.551379403695,178.551418972528
2008-03-01,175.11528398675702,175.11508136796002
2008-04-01,172.44259754819998,172.442656391208
2008-05-01,169.560185947009,169.56020891409
2008-06-01,167.177858370471,167.177833594812
2008-07-01,164.399715656058,164.399616721124
2008-08-01,162.116329016075,162.116301218011
2008-09-01,159.113900403311,159.11395565908
2008-10-01,156.295499859058,156.295584078248
2008-11-01,153.658116370729,153.658178390765
2008-12-01,150.727227564149,150.727242380294
2009-01-01,147.716252460527,147.716245668781
2009-02-01,145.614299888732,145.61430535451998
2009-03-01,142.722412688709,142.72227989200198
2009-04-01,141.560375582377,141.560460928351
2009-05-01,140.84131454069998,140.84143884193702
2009-06-01,141.29123615562798,141.291104482572
2009-07-01,142.24951525972,142.249363101725
2009-08-01,143.476392029729,143.476346874836
2009-09-01,144.070525922114,144.070595582506
2009-10-01,144.79389818986,144.793958326313
2009-11-01,145.471923855499,145.471956534513
2009-12-01,146.245560714408,146.245601544011
2010-01-01,146.930870591305,146.93099035096
2010-02-01,146.916946707187,146.916596511401
2010-03-01,146.23458944142,146.234762557583
2010-04-01,147.062740119593,147.063002803647
2010-05-01,147.269484344249,147.269747215159
2010-06-01,147.040824686794,147.040507521411
2010-07-01,146.403878380879,146.403583552675
2010-08-01,145.54121975666,145.54109318499098
2010-09-01,144.55047464973998,144.55053028500402
2010-10-01,143.622476275819,143.62256140781201
2010-11-01,143.27757386609198,143.277600297575
2010-12-01,142.962992930294,142.963019845768
2011-01-01,142.587816292261,142.58799289301
2011-02-01,142.052231553533,142.05152679942802
2011-03-01,140.436020740143,140.436581548952
2011-04-01,140.694260067801,140.69474197739999
2011-05-01,140.427246279702,140.427581146461
2011-06-01,140.359754123996,140.359111892613
2011-07-01,140.31896804761,140.318436255751
2011-08-01,140.042748723908,140.04260274592698
2011-09-01,139.414683493284,139.414904319326
2011-10-01,138.65153572268,138.65212144174
2011-11-01,137.934165330013,137.934624024611
2011-12-01,137.365343567771,137.365304819237
2012-01-01,137.143403739121,137.14298545671102
2012-02-01,137.019113010393,137.01723595344401
2012-03-01,136.646280162482,136.647413597237
2012-04-01,137.888959471216,137.889395802844
2012-05-01,139.45791636907498,139.458379923468
2012-06-01,141.018698620716,141.01816221167
2012-07-01,141.956543305905,141.956200466348
2012-08-01,142.918855926958,142.917358248111
2012-09-01,143.815623989823,143.816953925505
2012-10-01,144.793342197353,144.79575782792298
2012-11-01,145.79731766152202,145.799303015636
2012-12-01,147.099430409117,147.099179548642
2013-01-01,148.327371843776,148.324657868007
2013-02-01,149.603401670719,149.598046678454
2013-03-01,151.041497706111,151.04414603254
2013-04-01,153.88163923833798,153.881233456894
2013-05-01,156.016158764824,156.017242079509
2013-06-01,157.832014203261,157.8321027922
2013-07-01,159.593728063932,159.59351092244802
2013-08-01,161.451182888197,161.447965873236
2013-09-01,163.269133740651,163.272645120912
2013-10-01,164.786582609122,164.792607508656
2013-11-01,165.997257732131,166.002848239766
2013-12-01,166.901074962895,166.90193434731302
2014-01-01,167.844457466762,167.839566556171
2014-02-01,168.528734208682,168.50797462966102
2014-03-01,169.381830071048,169.389643355758
2014-04-01,169.959417020973,169.958237384263
2014-05-01,170.242230701098,170.244969899236
2014-06-01,170.52836093846,170.530467202785
2014-07-01,170.617436435322,170.61707513943702
2014-08-01,170.732583093596,170.727411655129
2014-09-01,171.450610307075,171.45717939341998
2014-10-01,172.37866554956798,172.388098724617
2014-11-01,173.15398875444697,173.164191541506
2014-12-01,174.19494484779997,174.202409482991
2015-01-01,175.027253929828,175.03053543730599
2015-02-01,176.380129101385,176.311923546211
2015-03-01,177.358471459093,177.379574285904
2015-04-01,177.74180695513098,177.745371825982
2015-05-01,178.28874319398102,178.294522850319
2015-06-01,178.823343711635,178.826829754854
2015-07-01,179.34226901098202,179.34181134224602
2015-08-01,179.583619322183,179.579180300201
2015-09-01,180.867735367356,180.87851943619802
2015-10-01,181.877245188642,181.892354702837
2015-11-01,182.983436221845,183.00257005956001
2015-12-01,183.83807543785198,183.85613341456403
2016-01-01,184.653354569906,184.671856973107
2016-02-01,185.51103532716598,185.355023613804
2016-03-01,186.740229441152,186.780497172633
2016-04-01,186.98936502999297,187.002369049523
2016-05-01,187.445733856119,187.457575743483
2016-06-01,188.036555809656,188.04395379621602
2016-07-01,188.646697778057,188.648937282627
2016-08-01,188.88931409874698,188.88704106628003
2016-09-01,190.26474581305,190.28103043059102
2016-10-01,191.193018511208,191.214660514607
2016-11-01,192.436178721648,192.465854577366
2016-12-01,193.748241600125,193.779973202243
2017-01-01,194.980659054273,195.020530248766
2017-02-01,196.14556797558498,195.87963818404998
2017-03-01,197.549414698241,197.62466579998198
2017-04-01,197.404083631454,197.444841252162
2017-05-01,198.098110042293,198.12661686107498
2017-06-01,198.714204121884,198.725570828245
2017-07-01,199.75140883711498,199.76036652889098
2017-08-01,199.98319315768398,199.98458559308102
2017-09-01,202.11428141656998,202.13316163329603
2017-10-01,203.331688052444,203.357326314045
2017-11-01,204.658030595995,204.695198008587
