,,U.S. Census Bureau
,,Source: New Home Sales
,,New Single-family Houses Sold: United States
,,Not Seasonally Adjusted All Houses [Thousands of Units]
,,Period: 1990 to 2019
,,"Data Extracted on: May 10, 2019 (3:25 pm)"
,,
Period,Value,
Jan-1990,45,
Feb-1990,50,
Mar-1990,58,
Apr-1990,52,
May-1990,50,
Jun-1990,50,
Jul-1990,46,
Aug-1990,46,
Sep-1990,38,
Oct-1990,37,
Nov-1990,34,
Dec-1990,29,
Jan-1991,30,
Feb-1991,40,
Mar-1991,51,
Apr-1991,50,
May-1991,47,
Jun-1991,47,
Jul-1991,43,
Aug-1991,46,
Sep-1991,37,
Oct-1991,41,
Nov-1991,39,
Dec-1991,36,
Jan-1992,48,
Feb-1992,55,
Mar-1992,56,
Apr-1992,53,
May-1992,52,
Jun-1992,53,
Jul-1992,52,
Aug-1992,56,
Sep-1992,51,
Oct-1992,48,
Nov-1992,42,
Dec-1992,42,
Jan-1993,44,
Feb-1993,50,
Mar-1993,60,
Apr-1993,66,
May-1993,58,
Jun-1993,59,
Jul-1993,55,
Aug-1993,57,
Sep-1993,57,
Oct-1993,56,
Nov-1993,53,
Dec-1993,51,
Jan-1994,46,
Feb-1994,58,
Mar-1994,74,
Apr-1994,65,
May-1994,65,
Jun-1994,55,
Jul-1994,52,
Aug-1994,59,
Sep-1994,54,
Oct-1994,57,
Nov-1994,45,
Dec-1994,40,
Jan-1995,47,
Feb-1995,47,
Mar-1995,60,
Apr-1995,58,
May-1995,63,
Jun-1995,64,
Jul-1995,64,
Aug-1995,63,
Sep-1995,54,
Oct-1995,54,
Nov-1995,46,
Dec-1995,45,
Jan-1996,54,
Feb-1996,68,
Mar-1996,70,
Apr-1996,70,
May-1996,69,
Jun-1996,65,
Jul-1996,66,
Aug-1996,73,
Sep-1996,62,
Oct-1996,56,
Nov-1996,54,
Dec-1996,51,
Jan-1997,61,
Feb-1997,69,
Mar-1997,81,
Apr-1997,70,
May-1997,71,
Jun-1997,71,
Jul-1997,69,
Aug-1997,72,
Sep-1997,67,
Oct-1997,62,
Nov-1997,61,
Dec-1997,51,
Jan-1998,64,
Feb-1998,75,
Mar-1998,81,
Apr-1998,82,
May-1998,82,
Jun-1998,83,
Jul-1998,75,
Aug-1998,75,
Sep-1998,68,
Oct-1998,69,
Nov-1998,70,
Dec-1998,61,
Jan-1999,67,
