period,CS_Index,1yr Prediction
2000-January,100.589696698974,
2000-February,101.692479314291,
2000-March,102.783828812065,
2000-April,103.996444254038,
2000-May,105.25281840306299,
2000-June,106.402523807612,
2000-July,107.134019461609,
2000-August,107.86143822743901,
2000-September,108.610140186362,
2000-October,109.486858891926,
2000-November,110.571707485592,
2000-December,111.80087186938101,
2001-January,113.05349773422199,113.05830023476773
2001-February,114.126857881259,120.33107430883376
2001-March,115.085195751287,126.73307807763499
2001-April,115.840550928508,121.02093005792872
2001-May,116.30074285312901,120.02149603927793
2001-June,116.899749967955,116.17861418683697
2001-July,117.49660114785499,119.23798199232235
2001-August,118.24522909662201,118.46023182517007
2001-September,119.027952923142,117.39228280951517
2001-October,119.694048519856,119.91477939699021
2001-November,120.274743532503,115.9049373252769
2001-December,120.672264238783,118.44129585784702
2002-January,121.360320819152,126.44982627669938
2002-February,122.19082092305,135.21689368628626
2002-March,123.321470124759,140.015476620451
2002-April,124.507760706156,134.49716177921977
2002-May,125.92446594751101,131.37725427927737
2002-June,127.38847361594999,129.48818382125745
2002-July,128.879586646824,128.54036424940534
2002-August,130.307277309221,127.95157554425018
2002-September,131.526921334076,124.96625182872688
2002-October,132.84663367872102,126.93739537844863
2002-November,134.096970036912,128.3604516188261
2002-December,135.405266340119,126.05662067335919
2003-January,136.466802057397,127.6554026363483
2003-February,137.452827180569,139.9304177470518
2003-March,138.378810168233,144.06244715209584
2003-April,139.250037320152,141.91465328882873
2003-May,140.14698719367598,143.90404659096862
2003-June,140.919713035376,140.76678250373928
2003-July,142.11887769485202,141.60505513576237
2003-August,143.551841523116,149.1617361790553
2003-September,145.26127944447398,146.10575892061496
2003-October,146.990469091218,144.64586007850644
2003-November,148.822939630222,142.98532585963437
2003-December,150.758996442435,141.63328443853766
2004-January,152.62510699025896,148.3293114979619
2004-February,154.53652047276302,153.44810275668982
2004-March,156.918184819939,163.87625266086738
2004-April,159.35958453318898,160.32873717941436
2004-May,161.751120911238,167.11924855679206
2004-June,164.305450969794,170.69715342933478
2004-July,166.387185555542,166.97804268160834
2004-August,168.071587413446,170.6396493229719
2004-September,169.65433092437002,162.1676090417418
2004-October,171.297042910077,162.8081010048697
2004-November,173.086939287604,157.24676600110104
2004-December,175.086155868844,157.1445568809384
2005-January,177.54612406266997,169.46763237033292
2005-February,180.249458173457,178.3078807093606
2005-March,183.18786409654098,193.8727500602987
2005-April,185.514582356726,186.68989775107715
2005-May,187.54965754535198,188.8307842404133
2005-June,189.53032062497,181.72893871014384
2005-July,191.37931770061797,178.27857419240377
2005-August,193.367562500858,184.525512134109
2005-September,195.620163009478,181.63722328106246
2005-October,197.88303170587105,187.6056938928771
2005-November,200.14835177600398,177.73584758407532
2005-December,202.177305333203,177.7227035430213
2006-January,203.771465229212,185.78316853935604
2006-February,205.36299960764703,198.28276512864568
2006-March,206.146277532849,210.09370488877636
2006-April,206.655904103739,202.4394143006557
2006-May,206.509585706927,206.36819228746592
2006-June,205.807434313017,203.23900650452794
2006-July,204.93651474190705,206.22070351632036
2006-August,204.111962886199,202.72806023206653
2006-September,203.585517316204,198.4973611261689
2006-October,203.549391980068,202.73186691291698
2006-November,203.652885754475,192.5268122924228
2006-December,203.47530195479698,195.02312707418437
2007-January,203.743068220267,198.2053858006139
2007-February,204.07108235383487,198.85690708563038
2007-March,203.94828738290198,210.85352894846076
2007-April,202.880769101211,205.10515419074386
2007-May,201.03339552945096,205.0940437772382
2007-June,198.847374294492,201.79223669671936
2007-July,196.84456663630903,191.45675177265818
2007-August,194.89337151927398,195.4485658307057
2007-September,193.124622773835,191.33150201177943
2007-October,190.979182046726,188.14123141988043
2007-November,187.90462484786,187.52271979451277
2007-December,185.09969258686402,187.15098984415943
2008-January,182.14041556578,186.69635864419095
2008-February,178.551418972528,187.38123549020764
2008-March,175.11508136796002,194.76087137323526
2008-April,172.442656391208,195.72032400965372
2008-May,169.56020891409,191.06727553440993
2008-June,167.177833594812,183.9701953444956
2008-July,164.399616721124,178.95799557138076
2008-August,162.116301218011,173.4601189329941
2008-September,159.11395565908,171.1503017025389
2008-October,156.295584078248,173.04433503053536
2008-November,153.658178390765,164.09869804402945
2008-December,150.727242380294,162.9100537793604
2009-January,147.716245668781,164.05896290762252
2009-February,145.61430535451998,166.29420450690284
2009-March,142.72227989200198,163.48370102269098
2009-April,141.560460928351,161.6637529368328
2009-May,140.84143884193702,157.64548153375947
2009-June,141.291104482572,151.2169769447998
2009-July,142.249363101725,147.62002747232805
2009-August,143.476346874836,144.03737426842997
2009-September,144.070595582506,144.37255570837212
2009-October,144.793958326313,141.47362076047744
2009-November,145.471956534513,137.0707548518369
2009-December,146.245601544011,139.58430272970094
2010-January,146.93099035096,142.0725400133813
2010-February,146.916596511401,143.13632823240846
2010-March,146.234762557583,141.5906064662766
2010-April,147.063002803647,144.82805113902663
2010-May,147.269747215159,143.52085488656456
2010-June,147.040507521411,142.208073574144
2010-July,146.403583552675,141.7980902375171
2010-August,145.54109318499098,143.06508517704714
2010-September,144.55053028500402,140.83525057874618
2010-October,143.62256140781201,145.78339341994987
2010-November,143.277600297575,143.9664214156415
2010-December,142.963019845768,143.99046853815585
2011-January,142.58799289301,145.0050649216491
2011-February,142.05152679942802,146.67097579475217
2011-March,140.436581548952,150.68605280132775
2011-April,140.69474197739999,153.5376009299717
2011-May,140.427581146461,144.13258466657885
2011-June,140.359111892613,142.3867269747878
2011-July,140.318436255751,141.5447867111211
2011-August,140.04260274592698,142.0032856049582
2011-September,139.414904319326,144.74851115465137
