Month,Year,Housing_Affordability_Index
November,1988,112.5
October,1988,112.3
September,1988,113.5
August,1988,109.3
July,1988,109.9
June,1988,110.5
May,1988,111.5
April,1988,113.3
March,1988,112.4
February,1988,111.9
January,1988,112.6
December,1987,112.7
November,1987,111.7
October,1987,111.6
September,1987,110.8
August,1987,108.9
July,1987,108.4
June,1987,108.2
May,1987,108.8
April,1987,110.1
March,1987,109.6
February,1987,108
January,1987,104.6
December,1986,111.5
November,1986,109.7
October,1986,109.3
September,1986,106.6
August,1986,102.3
July,1986,104.4
June,1986,101
May,1986,100.2
April,1986,101.6
March,1986,99.5
February,1986,100.4
January,1986,99.5
December,1985,99.5
November,1985,98.8
October,1985,97.6
September,1985,97.2
August,1985,94.2
July,1985,93.4
June,1985,91.6
May,1985,90.4
April,1985,90.4
March,1985,89.7
February,1985,88.7
January,1985,87.1
December,1984,87.7
November,1984,86.7
October,1984,85.3
September,1984,85.6
August,1984,84.2
July,1984,84.2
June,1984,86.3
May,1984,87.6
April,1984,88
March,1984,87.2
February,1984,87
January,1984,87.5
December,1983,86.5
November,1983,84.4
October,1983,84.3
September,1983,82.7
August,1983,81.3
July,1983,81.1
June,1983,81
May,1983,82.4
April,1983,82.2
March,1983,80.8
February,1983,79.3
January,1983,78.3
December,1982,76.2
November,1982,74.3
October,1982,71.8
September,1982,69.7
August,1982,66.5
July,1982,66.3
June,1982,65.7
May,1982,64.8
April,1982,65.6
March,1982,66.9
February,1982,66.4
January,1982,65.9
December,1981,64.9
November,1981,64
October,1981,65
September,1981,63.9
August,1981,64.1
July,1981,65.4
June,1981,66.5
May,1981,68.5
April,1981,70.1
March,1981,71.1
February,1981,72.1
January,1981,73.6
