"Financial obligations ratio, seasonally adjusted","Consumer debt service ratio, seasonally adjusted","Debt service ratio, seasonally adjusted","Mortgage debt service ratio, seasonally adjusted",Year,Month
16.900919,5.635607,11.64915,6.013543,1990,January
16.892529999999997,5.603958,11.632986666666667,6.029028666666667,1990,February
16.884141,5.572309,11.616823333333333,6.044514333333333,1990,March
16.875752,5.54066,11.60066,6.06,1990,April
16.879917666666664,5.5208596666666665,11.594816999999999,6.073957666666667,1990,May
16.884083333333333,5.501059333333333,11.588974,6.087915333333333,1990,June
16.888249,5.481259,11.583131,6.101873,1990,July
16.91225533333333,5.460706666666667,11.590237,6.129531,1990,August
16.936261666666667,5.440154333333333,11.597343,6.157189000000001,1990,September
16.960268,5.419602,11.604449,6.184847,1990,October
16.960224333333333,5.398147666666667,11.595643333333333,6.197495666666667,1990,November
16.960180666666666,5.376693333333334,11.586837666666668,6.210144333333334,1990,December
16.960137,5.355239,11.578032,6.222793,1991,January
16.913075666666668,5.316341,11.530100333333333,6.213759333333334,1991,February
16.866014333333332,5.277443,11.482168666666666,6.204725666666667,1991,March
16.818953,5.238545,11.434237,6.195692,1991,April
16.780328,5.204814666666667,11.395718333333333,6.190904,1991,May
16.741703,5.171084333333334,11.357199666666666,6.186116,1991,June
16.703078,5.137354,11.318681,6.181328,1991,July
16.628634,5.0973196666666665,11.251565,6.154246,1991,August
16.55419,5.057285333333334,11.184449,6.127164,1991,September
16.479746,5.017251,11.117333,6.100082,1991,October
16.373408333333334,4.967227,11.030082333333334,6.062855333333333,1991,November
16.267070666666665,4.917203,10.942831666666667,6.025628666666666,1991,December
16.160733,4.867179,10.855581,5.988402,1992,January
16.097531,4.836265666666667,10.797349333333333,5.961083666666666,1992,February
16.034329,4.8053523333333334,10.739117666666667,5.933765333333334,1992,March
15.971127,4.774439,10.680886,5.906447,1992,April
15.923012666666667,4.750425666666667,10.633940666666666,5.883515,1992,May
15.874898333333332,4.726412333333333,10.586995333333334,5.860583,1992,June
15.826784,4.702399,10.54005,5.837651,1992,July
15.802049666666667,4.688336666666666,10.511771666666668,5.823435,1992,August
15.777315333333332,4.674274333333333,10.483493333333334,5.809219000000001,1992,September
15.752581,4.660212,10.455215,5.795003,1992,October
15.726113333333332,4.657660333333333,10.443189666666667,5.785529333333334,1992,November
15.699645666666667,4.655108666666666,10.431164333333333,5.776055666666666,1992,December
15.673178,4.652557,10.419139,5.766582,1993,January
15.646637,4.651339,10.397569333333333,5.746230333333333,1993,February
15.620096,4.6501209999999995,10.375999666666667,5.725878666666667,1993,March
15.593555,4.648903,10.35443,5.705527,1993,April
15.618949333333333,4.6677029999999995,10.371429000000001,5.703725666666666,1993,May
15.644343666666668,4.686503,10.388428,5.701924333333333,1993,June
15.669738,4.705303,10.405427,5.700123,1993,July
15.660413333333334,4.722006666666666,10.393124,5.671116666666666,1993,August
15.651088666666666,4.738710333333334,10.380821,5.642110333333333,1993,September
15.641764,4.755414,10.368518,5.613104,1993,October
15.657877000000001,4.780915,10.375160333333334,5.594245,1993,November
15.67399,4.806416,10.381802666666667,5.575386,1993,December
15.690103,4.831917,10.388445,5.556527,1994,January
15.713738333333334,4.86269,10.409793666666667,5.547103333333333,1994,February
15.737373666666667,4.893463,10.431142333333334,5.5376796666666666,1994,March
15.761009,4.924236,10.452491,5.528256,1994,April
15.812282333333332,4.9614476666666665,10.497313333333333,5.535866666666666,1994,May
15.863555666666667,4.998659333333333,10.542135666666667,5.543477333333334,1994,June
15.914829,5.035871,10.586958,5.551088,1994,July
15.941759333333334,5.063938,10.624515333333333,5.560577666666667,1994,August
15.968689666666666,5.092005,10.662072666666667,5.570067333333333,1994,September
15.99562,5.120072,10.69963,5.579557,1994,October
16.063292333333333,5.162718666666667,10.762591,5.599871666666667,1994,November
16.130964666666667,5.205365333333334,10.825552,5.620186333333334,1994,December
16.198637,5.248012,10.888513,5.640501,1995,January
16.269743000000002,5.296892,10.952582333333334,5.655690333333333,1995,February
16.340849,5.345772,11.016651666666666,5.670879666666667,1995,March
16.411955,5.394652,11.080721,5.686069,1995,April
16.45104333333333,5.437464,11.115720333333334,5.678256333333334,1995,May
16.490131666666667,5.480276,11.150719666666667,5.670443666666666,1995,June
16.52922,5.523088,11.185719,5.662631,1995,July
16.543640999999997,5.546842666666667,11.198310333333334,5.651467666666667,1995,August
16.558062,5.570597333333334,11.210901666666667,5.640304333333333,1995,September
16.572483,5.594352,11.223493,5.629141,1995,October
16.567775666666666,5.613969333333333,11.229776333333334,5.615807,1995,November
16.563068333333334,5.633586666666666,11.236059666666666,5.602473,1995,December
16.558361,5.653204,11.242343,5.589139,1996,January
16.558185333333334,5.66061,11.251552666666667,5.590942666666667,1996,February
16.558009666666667,5.668016,11.260762333333332,5.592746333333333,1996,March
16.557834,5.675422,11.269972,5.59455,1996,April
16.574136333333332,5.687840666666667,11.285103333333332,5.5972626666666665,1996,May
16.590438666666667,5.700259333333333,11.300234666666666,5.599975333333333,1996,June
16.606741,5.712678,11.315366,5.602688,1996,July
16.626101333333335,5.7341223333333335,11.333981,5.599858666666666,1996,August
16.645461666666666,5.755566666666667,11.352596,5.597029333333333,1996,September
16.664822,5.777011,11.371211,5.5942,1996,October
16.653880666666666,5.7599116666666665,11.357090333333334,5.597178666666666,1996,November
16.642939333333334,5.742812333333333,11.342969666666667,5.600157333333334,1996,December
16.631998,5.725713,11.328849,5.603136,1997,January
16.639089333333335,5.71828,11.328872,5.6105920000000005,1997,February
16.646180666666666,5.710847,11.328895,5.618048,1997,March
16.653272,5.703414,11.328918,5.625504,1997,April
16.651928,5.7084253333333335,11.331952,5.623526666666667,1997,May
16.650584,5.713436666666667,11.334986,5.621549333333333,1997,June
16.64924,5.718448,11.33802,5.619572,1997,July
16.615607333333333,5.714187333333333,11.321433666666668,5.607246,1997,August
16.581974666666667,5.709926666666667,11.304847333333333,5.59492,1997,September
16.548342,5.705666,11.288261,5.582594,1997,October
16.473984666666666,5.679980666666666,11.240223,5.560242000000001,1997,November
16.399627333333335,5.654295333333334,11.192185,5.53789,1997,December
16.32527,5.62861,11.144147,5.515538,1998,January
16.318661333333335,5.6432286666666664,11.15161,5.508382,1998,February
16.312052666666666,5.657847333333334,11.159073000000001,5.501226,1998,March
16.305444,5.672466,11.166536,5.49407,1998,April
16.295392333333336,5.67732,11.161904666666667,5.484585,1998,May
16.285340666666666,5.682174,11.157273333333334,5.475099999999999,1998,June
16.275289,5.687028,11.152642,5.465615,1998,July
16.300029000000002,5.711716333333333,11.173875666666667,5.46216,1998,August
16.324769,5.736404666666666,11.195109333333333,5.458705,1998,September
16.349509,5.761093,11.216343,5.45525,1998,October
16.373679666666668,5.776395,11.238109666666666,5.4617146666666665,1998,November
16.397850333333334,5.791697,11.259876333333334,5.4681793333333335,1998,December
16.422021,5.806999,11.281643,5.474644,1999,January
16.482141000000002,5.840901333333333,11.332415666666668,5.491514333333333,1999,February
16.542261,5.874803666666667,11.383188333333333,5.508384666666666,1999,March
16.602381,5.908706,11.433961,5.525255,1999,April
16.643977666666668,5.933866666666666,11.475379,5.541512333333333,1999,May
16.68557433333333,5.959027333333333,11.516797,5.557769666666666,1999,June
16.727171,5.984188,11.558215,5.574027,1999,July
16.704413,5.976067,11.553923333333334,5.577856333333333,1999,August
16.681655,5.967946,11.549631666666667,5.581685666666667,1999,September
16.658897,5.959825,11.54534,5.585515,1999,October
16.616856333333335,5.952511,11.531294333333333,5.578783333333333,1999,November
16.574815666666666,5.945197,11.517248666666665,5.572051666666667,1999,December
16.532775,5.937883,11.503203,5.56532,2000,January
16.574865333333335,5.973132666666666,11.555449,5.582316666666666,2000,February
16.616955666666666,6.0083823333333335,11.607695,5.599313333333334,2000,March
16.659046,6.043632,11.659941,5.61631,2000,April
16.708283,6.088313333333333,11.718835666666667,5.6305233333333335,2000,May
16.75752,6.132994666666667,11.777730333333333,5.644736666666667,2000,June
16.806757,6.177676,11.836625,5.65895,2000,July
16.890216666666667,6.232203,11.912198333333333,5.679996,2000,August
16.973676333333334,6.2867299999999995,11.987771666666667,5.701042,2000,September
