Period,"Financial obligations ratio, seasonally adjusted","Consumer debt service ratio, seasonally adjusted","Debt service ratio, seasonally adjusted","Mortgage debt service ratio, seasonally adjusted",Year,Quarter
2013Q3,15.329540,5.178504,10.075181,4.896677,2013,Q3
2013Q4,15.366054,5.214294,10.080622,4.866328,2013,Q4
2014Q1,15.242983,5.209544,9.969990,4.760446,2014,Q1
2014Q2,15.216411,5.232607,9.921707,4.689100,2014,Q2
2014Q3,15.213978,5.262815,9.884201,4.621386,2014,Q3
2014Q4,15.257201,5.307268,9.875394,4.568126,2014,Q4
2015Q1,15.383229,5.370838,9.927788,4.556950,2015,Q1
2015Q2,15.413588,5.426874,9.917763,4.490889,2015,Q2
2015Q3,15.477978,5.488404,9.946691,4.458288,2015,Q3
2015Q4,15.526569,5.445859,9.928603,4.482744,2015,Q4
2016Q1,15.514980,5.435997,9.898403,4.462406,2016,Q1
2016Q2,15.649689,5.532303,10.000238,4.467935,2016,Q2
2016Q3,15.718325,5.613637,10.072342,4.458705,2016,Q3
2016Q4,15.660994,5.655924,10.044246,4.388322,2016,Q4
2017Q1,15.533528,5.634538,9.978798,4.344260,2017,Q1
2017Q2,15.533483,5.656053,9.988513,4.332461,2017,Q2
2017Q3,15.509082,5.656659,9.975555,4.318896,2017,Q3
2017Q4,15.468131,5.664424,9.951370,4.286946,2017,Q4
2018Q1,15.331046,5.610941,9.861202,4.250261,2018,Q1
2018Q2,15.327817,5.593365,9.851405,4.258039,2018,Q2
2018Q3,15.328742,5.618410,9.857297,4.238888,2018,Q3
2018Q4,15.325038,5.633093,9.882049,4.248955,2018,Q4
