period,CS_Index,West North Central,New England,East North Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central,USA,Housing Affordability Index,Market Absorption Rate (%),Unemployment Rate,"Financial obligations ratio, seasonally adjusted","Consumer debt service ratio, seasonally adjusted","Debt service ratio, seasonally adjusted","Mortgage debt service ratio, seasonally adjusted"
2016-October,191.2146605,237.83,228.3,197.16,216.42,307.77,228.3,268.88,239.34,237.83,252.52,236.79,171.1,46,4.9,15.660994,5.655924,10.044246,4.388322
2016-November,192.4658546,238.98,229.52,198.12,218.68,308.51,229.52,271.33,240.43,238.98,253.62,238.23,169.1,40,4.7,15.61850533,5.648795333,10.02243,4.373634667
2016-December,193.7799732,240.88,229.46,199.61,217.94,311.02,229.46,272.58,241.81,240.88,254.42,239.4,163.8,39,4.7,15.57601667,5.641666667,10.000614,4.358947333
2017-January,195.0205302,239.94,230.58,199.55,218.13,310.97,230.58,273.89,242.35,239.94,255.72,239.66,164.8,45,4.7,15.533528,5.634538,9.978798,4.34426
2017-February,195.8796382,241.63,232.81,201.17,220.36,315.52,232.81,275.98,243.61,241.63,257.7,241.72,164,51,4.7,15.533513,5.641709667,9.982036333,4.340327
2017-March,197.6246658,243.71,234.46,202.79,220.12,317.04,234.46,278.86,245.12,243.71,257.21,243.05,161.7,61,4.4,15.533498,5.648881333,9.985274667,4.336394
2017-April,197.4448413,244.05,235.04,203.34,222.58,319.94,235.04,280.88,247.6,244.05,261.04,244.79,159.8,56,4.4,15.533483,5.656053,9.988513,4.332461
2017-May,198.1266169,246.03,234.83,203.85,222.28,321.29,234.83,283.41,248.2,246.03,262.83,245.77,157.2,57,4.4,15.52534933,5.656255,9.984193667,4.327939333
2017-June,198.7255708,246.91,236.1,203.7,222.63,323.12,236.1,285.36,248.63,246.91,262.79,246.48,147.8,56,4.3,15.51721567,5.656457,9.979874333,4.323417667
2017-July,199.7603665,246.89,237.76,205.63,224.42,326.07,237.76,285.33,250.63,246.89,264.09,248,151.2,48,4.3,15.509082,5.656659,9.975555,4.318896
2017-August,199.9845856,248.12,238.27,206.62,226.09,327.75,238.27,289.51,253.06,248.12,265.9,249.88,153.9,45,4.4,15.49543167,5.659247333,9.967493333,4.308246
2017-September,202.1331616,249.77,239.14,207.73,227.44,330.85,239.14,291.34,253.21,249.77,267.41,251.02,160.1,50,4.2,15.48178133,5.661835667,9.959431667,4.297596
2017-October,203.3573263,251.28,241.73,209.1,229.33,333.82,241.73,293.14,255.14,251.28,268.59,253.04,162.7,49,4.1,15.468131,5.664424,9.95137,4.286946
2017-November,204.695198,252.72,241.93,210.33,229.14,338.1,241.93,295.43,256.82,252.72,270.97,254.29,161,50,4.2,15.422436,5.646596333,9.921314,4.274717667
2017-December,205.8961868,252.91,243.64,212.23,229.93,340.05,243.64,297.05,258.57,252.91,272.15,255.8,161.2,45,4.1,15.376741,5.628768667,9.891258,4.262489333
2018-January,207.3172638,256.24,244.75,214.18,231.3,342.82,244.75,300.72,261.2,256.24,270.5,257.74,164.5,48,4.1,15.331046,5.610941,9.861202,4.250261
2018-February,208.7852568,257.28,247.83,214.99,232.46,345.68,247.83,304.07,263.23,257.28,276.73,260.09,161.5,54,4.1,15.32996967,5.605082333,9.857936333,4.252853667
2018-March,210.857946,258.77,245.87,215.27,236.38,348.32,245.87,303.95,264.04,258.77,274.79,260.67,152.5,66,4,15.32889333,5.599223667,9.854670667,4.255446333
2018-April,210.3943727,259.45,247.85,217.38,234.77,349.88,247.85,305.2,265.45,259.45,274.55,261.59,147.3,61,3.9,15.327817,5.593365,9.851405,4.258039
2018-May,210.8837182,260.61,249,216.8,234.88,352.21,249,305.59,266.87,260.61,276.95,262.58,142.4,62,3.8,15.32812533,5.601713333,9.853369,4.251655333
2018-June,211.3243965,262.34,249.15,218.29,236.38,355.85,249.15,307.12,266.19,262.34,277.34,263.68,137.7,56,4,15.32843367,5.610061667,9.855333,4.245271667
2018-July,211.6075293,263.45,249.07,219.36,237.51,355.49,249.07,308.82,269.05,263.45,277.73,264.87,140.3,52,3.9,15.328742,5.61841,9.857297,4.238888
2018-August,211.1123278,264.27,250.86,220.21,236.87,358.27,250.86,310.76,270.93,264.27,279.34,266.18,142.3,47,3.8,15.32750733,5.623304333,9.865547667,4.242243667
2018-September,212.6815566,264.03,251.75,221.81,237.78,362.62,251.75,308.92,271.75,264.03,280.25,266.95,147.5,46,3.7,15.32627267,5.628198667,9.873798333,4.245599333
2018-October,213.4790242,267.45,253.53,223.02,237.72,363.93,253.53,313.2,271.07,267.45,280.9,268.27,147.1,43,3.8,15.325038,5.633093,9.882049,4.248955
