1M,4M,7M,13M,period
198.82735410161655,201.2724157579369,202.47954339930362,202.37607488320157,2005-October
200.01773835110373,199.37109229363125,197.29988514809136,191.31043244852896,2005-November
202.1040509804244,201.62588775886434,199.67004300557846,193.78696597878695,2005-December
203.85540169592056,203.79079099885269,202.2495643618545,197.0476668315742,2006-January
205.39158429844946,205.14896927438815,203.33866125636524,197.5633658554936,2006-February
207.17790553863074,209.78631884605898,210.93164220021166,210.29374155672284,2006-March
207.15848488553826,208.203268713278,207.71131440745006,204.13657643321912,2006-April
207.04335041301061,208.09240818096225,207.65493800237923,204.1774342905712,2006-May
206.1312639516759,206.48231698158767,205.3632565645045,200.7283795091639,2006-June
204.4493488965817,202.35575133784937,198.7553572321481,189.80965465367441,2006-July
204.07010092457855,203.09290150178828,200.7545168111165,194.1511549615943,2006-August
203.2492540947861,201.31152997613714,198.01251142941243,189.79269194935023,2006-September
202.95720956679665,200.19028234485916,196.05431748015295,186.39307253828161,2006-October
203.0102844934592,200.0212815459003,195.68977736823095,185.72917735231024,2006-November
202.81886897750178,199.76592596192606,195.38999270912467,185.3626306697282,2006-December
203.04269912446242,199.75528453126938,195.1668915633563,184.83614010168273,2007-January
203.41115955383935,200.23243915356946,195.73954203180259,185.5381840333059,2007-February
203.9617542161088,202.621865348137,200.11561169832115,193.45423180794867,2007-March
203.07972417779905,202.18866376825244,200.2244353503259,194.59402729837421,2007-April
200.98968940059459,199.33689372352447,196.63952612539674,189.80087899016465,2007-May
198.37379857825312,195.40594700766545,191.4454072221795,182.47614245204642,2007-June
196.1121807277651,192.31413041589855,187.56556681705828,177.31531947164214,2007-July
193.8627914430678,189.0823225125453,183.38651588415462,171.60731145949296,2007-August
192.07121716214243,187.03501820378574,181.15294465907243,169.24332472417908,2007-September
190.28706924882363,186.20624023404042,181.35817110392125,171.39749632924864,2007-October
186.6744198666651,180.9975087191072,174.61499600080438,162.15053508743043,2007-November
183.9920349541343,178.60426750159309,172.6478818869437,161.13759850892544,2007-December
181.37594045849482,176.91189838137942,171.99848781934833,162.5602035122811,2008-January
178.24487918807296,175.10793756533275,171.73909783501085,165.2834540825269,2008-February
174.7941017003789,171.750417006009,168.58805281059443,162.64143455913668,2008-March
172.13081687271884,169.2864609260638,166.35764367717877,160.9255723079675,2008-April
169.1350681380754,165.9646358545265,162.74540692726436,156.88982195629944,2008-May
166.3910458667664,162.1421188254678,157.88609061523383,150.2853798954275,2008-June
163.537245229783,159.00520645259002,154.52990773794644,146.68183571977883,2008-July
161.12648275739426,156.21321522089093,151.37214325329302,143.01389836816062,2008-August
158.4165635434878,154.19576031164823,150.18272528674947,143.56394793424894,2008-September
155.57657378048285,151.2458547281825,147.2005906500271,140.6994916038569,2008-October
152.7588741582049,147.97872405153015,143.43076966487465,136.14371085709357,2008-November
150.3139242839223,146.70628819632984,143.54841857349408,139.0404157300353,2008-December
147.8104690288337,145.26821005420484,143.55484856505265,142.02390154228658,2009-January
145.93300528529244,144.10115136919512,143.28111966962885,143.449946926966,2009-February
143.08760954698738,141.58644945609376,141.14045669646612,142.05927471720864,2009-March
142.27012806012496,141.84790129353743,142.5307990160054,145.56007882960276,2009-April
141.47214772974138,140.91696739251609,141.47900354831268,144.27463288440765,2009-May
141.7380010513527,140.8268005383241,140.96794714117294,142.88554689596123,2009-June
142.55385917234796,141.40605060213352,141.19378574850487,142.35164719323058,2009-July
143.76016987502624,142.70986900023266,142.47851865915035,143.52918933252698,2009-August
144.08144602536828,142.35973325173416,141.3794063989776,141.08268167426456,2009-September
145.15778506656184,144.51555691790216,144.6259540628421,146.26194621645908,2009-October
145.594361832141,144.3276701240493,143.77738130639574,144.2641125853463,2009-November
146.25889446912637,144.9455915717578,144.15933461206424,144.11803301521715,2009-December
146.9408455972585,145.75741380472917,145.06354343975482,145.1418255553684,2010-January
147.02568375565005,146.33243957441405,146.0877234428483,146.908848740228,2010-February
146.70491837016192,147.21362365582965,148.24230661176327,151.29941931905748,2010-March
147.66695260594372,148.7672427192656,150.35095389928748,154.28798403999318,2010-April
147.00824436082556,145.70588208257087,144.77733882799302,144.26693904164927,2010-May
146.59728960980263,145.04332849369098,143.72746172729396,142.40060245324247,2010-June
145.9128594119315,144.33258279274074,142.9471442478055,141.51654333788392,2010-July
145.1533510147346,143.8343482283947,142.77869980021094,142.06481677333332,2010-August
144.46355816403846,144.0955925245781,143.98163744334272,144.99445880696553,2010-September
143.5560789160022,143.22448353945433,143.2341589259262,144.57690854293074,2010-October
143.11369250002957,142.60820921564272,142.42006982424593,143.44462538477862,2010-November
142.76749578898676,142.40576536380874,142.28665327402248,143.35684844364815,2010-December
142.60096310002046,142.88121752174308,143.41288571342653,145.73101287056656,2011-January
142.07030811148223,142.49967452253767,143.10267758530904,145.51272888245208,2011-February
140.5986988547471,141.5661510075556,142.71976537203096,146.09727920268833,2011-March
140.9762356311008,142.30983353444822,143.84619640400845,147.89419369875034,2011-April
140.349830426125,140.77661665462472,141.35350945574376,143.64415160566128,2011-May
140.18256013649602,140.35703443006358,140.71271266649111,142.6086837767786,2011-June
140.28324797830857,140.82438134237296,141.59616289953175,144.29928369030054,2011-July
139.96547181208265,140.44483235826928,141.13324590107698,143.71274600232474,2011-August
139.6843033010596,141.01115040233725,142.70467469742337,147.25006832454534,2011-September
139.27030267528366,141.60554504482806,144.33642228329717,150.81497837074048,2011-October
138.38440956756875,140.27967148434277,142.65242942811284,148.555874183963,2011-November
138.0215714302782,140.52870225393022,143.60443082162627,150.83990338531524,2011-December
137.9783199790563,141.05976530178086,144.72103424794346,153.05699310850136,2012-January
138.31063883377706,142.72870372626795,147.8041808744172,158.66802067439343,2012-February
138.06213549564404,142.81112906004597,148.34907768474983,160.06895062328203,2012-March
138.9115148128619,142.68837882953153,147.18433145963257,156.90474837619786,2012-April
